7/9/2003,Pirates of the Caribbean: The Curse of the Black Pearl,125000000.00,305411224.00
11/19/2010,Harry Potter and the Deathly Hallows: Part I,125000000.00,295001070.00
5/19/2006,The Da Vinci Code,125000000.00,217536138.00
5/2/2003,X2,125000000.00,214949694.00
4/29/2011,Fast Five,125000000.00,209837675.00
8/8/2014,Teenage Mutant Ninja Turtles,125000000.00,191204754.00
12/16/2011,Sherlock Holmes: A Game of Shadows,125000000.00,186848418.00
5/28/2004,The Day After Tomorrow,125000000.00,186740799.00
4/1/2010,Clash of the Titans,125000000.00,163214888.00
5/19/1998,Godzilla,125000000.00,136142003.00
6/8/2012,Prometheus,125000000.00,126477084.00
8/10/2012,The Bourne Legacy,125000000.00,113203870.00
6/20/1997,Batman & Robin,125000000.00,107308328.00
8/3/2012,Total Recall,125000000.00,58877969.00
8/27/1999,The 13th Warrior,125000000.00,32694788.00
11/20/2015,The Hunger Games: Mockingjay - Part 2,125000000.00,0.00
11/17/2000,How the Grinch Stole Christmas,123000000.00,260044825.00
5/24/2000,Mission: Impossible 2,120000000.00,215409889.00
6/30/2000,The Perfect Storm,120000000.00,182618434.00
6/15/2007,Fantastic Four: Rise of the Silver Surfer,120000000.00,131921738.00
11/21/2012,Life of Pi,120000000.00,124987022.00
2/16/2007,Ghost Rider,120000000.00,115802596.00
6/27/2003,Charlie's Angels: Full Throttle,120000000.00,100814328.00
8/9/2013,Elysium,120000000.00,93050117.00
4/19/2013,Oblivion,120000000.00,89107235.00
7/19/2002,Stuart Little 2,120000000.00,64736114.00
2/12/2014,RoboCop,120000000.00,58607007.00
6/11/2004,The Chronicles of Riddick,120000000.00,57712751.00
8/7/2015,Fantastic Four,120000000.00,56086051.00
5/9/2008,Speed Racer,120000000.00,43945766.00
7/22/2005,The Island,120000000.00,35818913.00
12/17/2010,How Do You Know?,120000000.00,30212620.00
11/4/2016,Trolls,120000000.00,0.00
6/23/2010,Knight and Day,117000000.00,76423035.00
5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000.00,474544677.00
5/19/2005,Star Wars Ep. III: Revenge of the Sith,115000000.00,380270577.00
5/16/2002,Star Wars Ep. II: Attack of the Clones,115000000.00,302181125.00
11/2/2001,Monsters Inc.,115000000.00,289423425.00
7/26/2013,The Wolverine,115000000.00,132556852.00
2/7/1997,Dante's Peak,115000000.00,67155742.00
6/14/2002,Windtalkers,115000000.00,40914068.00
12/31/2008,Astérix aux Jeux Olympiques,113500000.00,999811.00
12/25/2010,Gulliver's Travels,112000000.00,42779261.00
10/4/2013,Gravity,110000000.00,274092705.00
12/22/2006,Night at the Museum,110000000.00,250863268.00
6/10/2005,Mr. and Mrs. Smith,110000000.00,186336279.00
5/29/2015,San Andreas,110000000.00,155181732.00
7/29/2011,The Smurfs,110000000.00,142614158.00
6/27/2007,Live Free or Die Hard,110000000.00,134529403.00
3/20/2015,Insurgent,110000000.00,130179072.00
12/10/2004,Ocean's Twelve,110000000.00,125531634.00
12/19/1997,Tomorrow Never Dies,110000000.00,125279326.00
6/28/2000,The Patriot,110000000.00,113330342.00
3/7/2014,300: Rise of an Empire,110000000.00,106580051.00
12/17/2004,The Aviator,110000000.00,102608827.00
1/14/2011,The Green Hornet,110000000.00,98780042.00
10/7/2011,Real Steel,110000000.00,85463309.00
6/11/2010,The A-Team,110000000.00,77222099.00
7/31/2013,The Smurfs 2,110000000.00,71017784.00
6/12/2009,The Taking of Pelham 123,110000000.00,65452312.00
11/1/2013,Ender's Game,110000000.00,61737191.00
4/2/2004,Home on the Range,110000000.00,50026353.00
6/13/1997,Speed II: Cruise Control,110000000.00,48068396.00
5/6/2005,Kingdom of Heaven,110000000.00,47398413.00
6/16/2004,Around the World in 80 Days,110000000.00,24004159.00
12/19/2001,The Lord of the Rings: The Fellowship of the Ring,109000000.00,315544750.00
11/21/2003,The Cat in the Hat,109000000.00,101018283.00
12/25/2001,Ali,109000000.00,58183966.00
10/2/2015,The Martian,108000000.00,108715595.00
7/16/2004,I Robot,105000000.00,144795350.00
12/17/1999,Stuart Little,105000000.00,140015224.00
11/25/2009,The Princess and the Frog,105000000.00,104400899.00
3/7/2008,10000 B.C.,105000000.00,94784201.00
4/27/2001,Town & Country,105000000.00,6712451.00
6/9/2000,Gone in 60 Seconds,103300000.00,101643008.00
5/5/2000,Gladiator,103000000.00,187683805.00
5/23/2013,The Hangover 3,103000000.00,112200072.00
7/1/2009,Public Enemies,102500000.00,97104620.00
11/17/2006,Casino Royale,102000000.00,167220102.00
6/21/2002,Minority Report,102000000.00,132024714.00
10/26/2012,Cloud Atlas,102000000.00,27108272.00
11/15/2002,Harry Potter and the Chamber of Secrets,100000000.00,261987880.00
7/2/1991,Terminator 2: Judgment Day,100000000.00,201858746.00
6/16/1995,Batman Forever,100000000.00,183997904.00
7/27/2001,Planet of the Apes,100000000.00,180011740.00
